batch,bloc,pct
CEASEFIRE_BREACH,Centre / Majorite,0.7954545454545454
CEASEFIRE_BREACH,Droite,0.48717948717948717
CEASEFIRE_BREACH,Gauche moderee,0.8305084745762712
CEASEFIRE_BREACH,Gauche radicale,0.3724604966139955
CHOC,Centre / Majorite,0.7770034843205574
CHOC,Droite,0.4914772727272727
CHOC,Gauche moderee,0.9065934065934066
CHOC,Gauche radicale,0.6666666666666666
MANDATS_CPI,Centre / Majorite,1.0
MANDATS_CPI,Droite,0.6111111111111112
MANDATS_CPI,Gauche moderee,0.8387096774193549
MANDATS_CPI,Gauche radicale,0.23893805309734514
NEW_OFFENSIVE,Centre / Majorite,0.8106060606060606
NEW_OFFENSIVE,Droite,0.5025125628140703
NEW_OFFENSIVE,Gauche moderee,0.7024793388429752
NEW_OFFENSIVE,Gauche radicale,0.27874885004599814
POST_CIJ,Centre / Majorite,0.7272727272727273
POST_CIJ,Droite,0.59375
POST_CIJ,Gauche moderee,0.8260869565217391
POST_CIJ,Gauche radicale,0.5253456221198156
POST_SINWAR,Centre / Majorite,0.7272727272727273
POST_SINWAR,Droite,0.5813953488372093
POST_SINWAR,Gauche moderee,0.5714285714285714
POST_SINWAR,Gauche radicale,0.24025974025974026
RAFAH,Centre / Majorite,0.8615384615384616
RAFAH,Droite,0.38028169014084506
RAFAH,Gauche moderee,0.6698113207547169
RAFAH,Gauche radicale,0.3029850746268657
