month,bloc,pct_conflictual,n,month_ts
2023-10,Centre / Majorite,0.10196078431372549,255,2023-10-01
2023-10,Droite,0.11333333333333333,300,2023-10-01
2023-10,Gauche moderee,0.20915032679738563,153,2023-10-01
2023-10,Gauche radicale,0.13643410852713178,645,2023-10-01
2023-11,Centre / Majorite,0.09345794392523364,107,2023-11-01
2023-11,Droite,0.09345794392523364,107,2023-11-01
2023-11,Gauche moderee,0.14545454545454545,55,2023-11-01
2023-11,Gauche radicale,0.1536144578313253,332,2023-11-01
2023-12,Centre / Majorite,0.0,10,2023-12-01
2023-12,Droite,0.0,16,2023-12-01
2023-12,Gauche moderee,0.125,16,2023-12-01
2023-12,Gauche radicale,0.09554140127388536,157,2023-12-01
2024-01,Centre / Majorite,0.140625,64,2024-01-01
2024-01,Droite,0.125,32,2024-01-01
2024-01,Gauche moderee,0.23333333333333334,30,2024-01-01
2024-01,Gauche radicale,0.08849557522123894,226,2024-01-01
2024-02,Centre / Majorite,0.13846153846153847,65,2024-02-01
2024-02,Droite,0.0625,32,2024-02-01
2024-02,Gauche moderee,0.05454545454545454,55,2024-02-01
2024-02,Gauche radicale,0.08,225,2024-02-01
2024-03,Centre / Majorite,0.0425531914893617,47,2024-03-01
2024-03,Droite,0.0684931506849315,73,2024-03-01
2024-03,Gauche moderee,0.13636363636363635,44,2024-03-01
2024-03,Gauche radicale,0.13991769547325103,243,2024-03-01
2024-04,Centre / Majorite,0.13725490196078433,51,2024-04-01
2024-04,Droite,0.058823529411764705,51,2024-04-01
2024-04,Gauche moderee,0.23255813953488372,43,2024-04-01
2024-04,Gauche radicale,0.11461318051575932,349,2024-04-01
2024-05,Centre / Majorite,0.14423076923076922,104,2024-05-01
2024-05,Droite,0.1111111111111111,63,2024-05-01
2024-05,Gauche moderee,0.09782608695652174,92,2024-05-01
2024-05,Gauche radicale,0.14473684210526316,608,2024-05-01
2024-06,Centre / Majorite,0.057692307692307696,52,2024-06-01
2024-06,Droite,0.12,25,2024-06-01
2024-06,Gauche moderee,0.20833333333333334,24,2024-06-01
2024-06,Gauche radicale,0.0873015873015873,126,2024-06-01
2024-07,Centre / Majorite,0.25925925925925924,27,2024-07-01
2024-07,Droite,0.05,40,2024-07-01
2024-07,Gauche moderee,0.0,14,2024-07-01
2024-07,Gauche radicale,0.1165644171779141,163,2024-07-01
2024-08,Centre / Majorite,0.14285714285714285,35,2024-08-01
2024-08,Droite,0.08823529411764706,34,2024-08-01
2024-08,Gauche moderee,0.1875,16,2024-08-01
