author_norm,month,bloc,stance_tw,n_tweets,engagement_mean,stance_an,n_an,delta,month_ts
Ayda Hadizadeh,2025-06,Gauche moderee,0.2857142857142857,7,242.14285714285714,1.3333333333333333,3,-1.0476190476190474,2025-06-01
Aymeric Caron,2023-10,Gauche radicale,1.2,35,539.6285714285714,0.0,6,1.2,2023-10-01
Aymeric Caron,2024-06,Gauche radicale,1.0,3,893.6666666666666,2.0,3,-1.0,2024-06-01
Aymeric Caron,2025-04,Gauche radicale,1.7377049180327868,61,500.2950819672131,2.0,4,-0.2622950819672132,2025-04-01
Aymeric Caron,2025-05,Gauche radicale,1.9166666666666667,12,886.3333333333334,-0.6666666666666666,3,2.5833333333333335,2025-05-01
Bastien Lachaud,2024-05,Gauche radicale,1.625,8,278.5,2.0,1,-0.375,2024-05-01
Bastien Lachaud,2025-03,Gauche radicale,2.0,1,143.0,0.0,1,2.0,2025-03-01
Bastien Lachaud,2025-05,Gauche radicale,2.0,1,1186.0,1.0,1,1.0,2025-05-01
Bastien Lachaud,2025-06,Gauche radicale,1.5,4,431.5,1.0,1,0.5,2025-06-01
Boris Vallaud,2023-10,Gauche moderee,1.0,4,400.0,0.8,10,0.19999999999999996,2023-10-01
Brigitte Klinkert,2025-06,Centre / Majorite,-1.0,1,5.0,-1.0,1,0.0,2025-06-01
Bruno Fuchs,2025-06,Centre / Majorite,0.25,4,18.25,-1.0,1,1.25,2025-06-01
Carlos Martens Bilongo,2023-11,Gauche radicale,1.0,1,23.0,1.0,3,0.0,2023-11-01
Caroline Abadie,2023-10,Centre / Majorite,-1.0,1,26.0,-1.0,1,0.0,2023-10-01
Caroline Yadan,2023-10,Centre / Majorite,-1.3333333333333333,3,459.3333333333333,-1.5,4,0.16666666666666674,2023-10-01
Caroline Yadan,2023-11,Centre / Majorite,-0.5714285714285714,7,231.85714285714286,-1.0,3,0.4285714285714286,2023-11-01
Caroline Yadan,2024-01,Centre / Majorite,-1.4210526315789473,19,216.21052631578948,-1.0,1,-0.42105263157894735,2024-01-01
Caroline Yadan,2024-02,Centre / Majorite,-1.4210526315789473,19,265.89473684210526,-1.3333333333333333,3,-0.08771929824561409,2024-02-01
Caroline Yadan,2024-03,Centre / Majorite,-1.5,2,498.0,-1.5,4,0.0,2024-03-01
Caroline Yadan,2024-11,Centre / Majorite,-1.2,15,856.0,-1.0,1,-0.19999999999999996,2024-11-01
Caroline Yadan,2025-01,Centre / Majorite,-1.0,1,250.0,-1.3333333333333333,3,0.33333333333333326,2025-01-01
Caroline Yadan,2025-04,Centre / Majorite,-1.0,4,652.0,-1.6666666666666667,3,0.6666666666666667,2025-04-01
Caroline Yadan,2025-05,Centre / Majorite,-0.6153846153846154,13,608.8461538461538,-1.4705882352941178,17,0.8552036199095023,2025-05-01
Caroline Yadan,2025-06,Centre / Majorite,-1.2,15,571.8,-1.5,4,0.30000000000000004,2025-06-01
Caroline Yadan,2025-10,Centre / Majorite,-1.2307692307692308,13,689.4615384615385,-1.7142857142857142,7,0.48351648351648335,2025-10-01
Caroline Yadan,2025-11,Centre / Majorite,-2.0,2,1105.5,-2.0,1,0.0,2025-11-01
Caroline Yadan,2025-12,Centre / Majorite,-1.5,4,363.25,-2.0,2,0.5,2025-12-01
Claire Lejeune,2025-07,Gauche radicale,2.0,4,485.5,2.0,1,0.0,2025-07-01
Clémence Guetté,2025-06,Gauche radicale,2.0,3,859.0,2.0,2,0.0,2025-06-01
Constance Le Grip,2023-10,Centre / Majorite,-1.25,12,106.5,-1.5,10,0.25,2023-10-01
Constance Le Grip,2024-10,Centre / Majorite,-1.6666666666666667,3,26.666666666666668,-1.5,2,-0.16666666666666674,2024-10-01
Constance Le Grip,2025-02,Centre / Majorite,-1.3333333333333333,3,23.0,-1.0,1,-0.33333333333333326,2025-02-01
Constance Le Grip,2025-06,Centre / Majorite,-0.9230769230769231,13,75.3076923076923,0.0,1,-0.9230769230769231,2025-06-01
Cyrielle Chatelain,2023-10,Gauche moderee,0.875,8,103.875,1.125,8,-0.25,2023-10-01
Cyrielle Chatelain,2024-05,Gauche moderee,1.0,5,206.2,1.25,4,-0.25,2024-05-01
Cyrielle Chatelain,2024-11,Gauche moderee,1.0,2,54.5,1.4,5,-0.3999999999999999,2024-11-01
Danièle Obono,2024-01,Gauche radicale,1.903225806451613,31,309.8709677419355,2.0,1,-0.09677419354838701,2024-01-01
Danièle Obono,2024-03,Gauche radicale,1.6153846153846154,13,193.3846153846154,1.6666666666666667,3,-0.05128205128205132,2024-03-01
Danièle Obono,2024-11,Gauche radicale,1.75,4,354.75,2.0,6,-0.25,2024-11-01
Danièle Obono,2025-02,Gauche radicale,2.0,4,287.0,-2.0,1,4.0,2025-02-01
Danièle Obono,2025-03,Gauche radicale,1.5,4,172.0,2.0,1,-0.5,2025-03-01
David Guiraud,2023-10,Gauche radicale,1.6458333333333333,48,546.0208333333334,2.0,1,-0.35416666666666674,2023-10-01
David Guiraud,2024-05,Gauche radicale,1.5,18,356.0,2.0,2,-0.5,2024-05-01
David Guiraud,2024-11,Gauche radicale,1.8333333333333333,6,385.0,1.4285714285714286,7,0.40476190476190466,2024-11-01
David Guiraud,2025-05,Gauche radicale,2.0,7,632.5714285714286,-0.3333333333333333,3,2.3333333333333335,2025-05-01
Didier Martin,2023-10,Centre / Majorite,-1.0,1,14.0,-1.0,1,0.0,2023-10-01
Dominique Potier,2023-10,Gauche moderee,0.3333333333333333,3,23.666666666666668,0.0,1,0.3333333333333333,2023-10-01
Elsa Faucillon,2023-11,Gauche radicale,1.2,5,549.0,1.6666666666666667,6,-0.4666666666666668,2023-11-01
Elsa Faucillon,2024-05,Gauche radicale,1.625,8,678.625,1.8571428571428572,7,-0.2321428571428572,2024-05-01
Elsa Faucillon,2024-10,Gauche radicale,2.0,3,298.6666666666667,2.0,2,0.0,2024-10-01
Elsa Faucillon,2025-03,Gauche radicale,1.5,2,189.0,1.0,1,0.5,2025-03-01
Elsa Faucillon,2025-06,Gauche radicale,1.7857142857142858,14,306.14285714285717,2.0,1,-0.2142857142857142,2025-06-01
Elsa Faucillon,2025-10,Gauche radicale,2.0,1,76.0,2.0,1,0.0,2025-10-01
Emmanuel Fernandes,2024-05,Gauche radicale,1.7272727272727273,11,105.27272727272727,2.0,1,-0.2727272727272727,2024-05-01
Emmanuel Fernandes,2024-11,Gauche radicale,1.5,2,126.5,2.0,1,-0.5,2024-11-01
Emmanuelle Ménard,2023-10,Droite,-1.1666666666666667,6,26.833333333333332,-1.7,10,0.5333333333333332,2023-10-01
Emmanuelle Ménard,2023-12,Droite,-1.0,3,16.0,-1.0,1,0.0,2023-12-01
Erwan Balanant,2023-10,Centre / Majorite,-1.5,2,20.5,-1.0,1,-0.5,2023-10-01
Fabien Roussel,2023-10,Gauche radicale,1.4444444444444444,9,481.22222222222223,1.25,4,0.19444444444444442,2023-10-01
François Cormier-Bouligeon,2023-10,Centre / Majorite,-1.25,28,57.642857142857146,0.0,2,-1.25,2023-10-01
François Cormier-Bouligeon,2023-11,Centre / Majorite,-1.1176470588235294,17,34.470588235294116,-1.0,1,-0.11764705882352944,2023-11-01
François Cormier-Bouligeon,2024-01,Centre / Majorite,-1.0,9,31.11111111111111,-1.0,3,0.0,2024-01-01
François Cormier-Bouligeon,2024-02,Centre / Majorite,-2.0,2,29.0,-1.0,1,-1.0,2024-02-01
François Cormier-Bouligeon,2024-04,Centre / Majorite,-1.25,4,96.0,-2.0,1,0.75,2024-04-01
François Cormier-Bouligeon,2024-05,Centre / Majorite,-2.0,1,11.0,-2.0,1,0.0,2024-05-01
François Cormier-Bouligeon,2024-11,Centre / Majorite,-1.0,1,6.0,-1.0,1,0.0,2024-11-01
François Cormier-Bouligeon,2025-01,Centre / Majorite,-1.0,1,10.0,-1.0,2,0.0,2025-01-01
François Piquemal,2023-10,Gauche radicale,0.9166666666666666,12,384.6666666666667,-2.0,1,2.9166666666666665,2023-10-01
François Piquemal,2024-02,Gauche radicale,1.0,1,25.0,2.0,2,-1.0,2024-02-01
François Piquemal,2025-05,Gauche radicale,1.0,1,111.0,-2.0,1,3.0,2025-05-01
Gabriel Amard,2025-06,Gauche radicale,1.6,10,155.7,-1.0,1,2.6,2025-06-01
Gabrielle Cathala,2025-03,Gauche radicale,0.6666666666666666,3,165.33333333333334,-0.5,2,1.1666666666666665,2025-03-01
Gabrielle Cathala,2025-04,Gauche radicale,2.0,3,332.0,1.0,1,1.0,2025-04-01
Gabrielle Cathala,2025-05,Gauche radicale,1.7777777777777777,18,365.6666666666667,2.0,2,-0.22222222222222232,2025-05-01
Gabrielle Cathala,2025-06,Gauche radicale,1.7777777777777777,18,175.16666666666666,-1.5,2,3.2777777777777777,2025-06-01
Gabrielle Cathala,2025-10,Gauche radicale,1.875,8,745.5,1.2857142857142858,7,0.5892857142857142,2025-10-01
Gabrielle Cathala,2025-11,Gauche radicale,1.7692307692307692,13,609.8461538461538,2.0,2,-0.23076923076923084,2025-11-01
Gabrielle Cathala,2025-12,Gauche radicale,1.8888888888888888,9,937.3333333333334,0.3333333333333333,3,1.5555555555555556,2025-12-01
Gérald Darmanin,2023-10,Centre / Majorite,-1.0,1,1236.0,-0.8,5,-0.19999999999999996,2023-10-01
Gérald Darmanin,2025-02,Centre / Majorite,-1.0,1,954.0,-2.0,1,1.0,2025-02-01
Hadrien Clouet,2023-11,Gauche radicale,1.8,5,656.2,1.0,1,0.8,2023-11-01
Ian Boucard,2025-07,Droite,0.0,1,193.0,-2.0,1,2.0,2025-07-01
Jean-Claude Raux,2025-05,Gauche moderee,1.5,4,21.75,2.0,2,-0.5,2025-05-01
Jean-François Coulomme,2024-04,Gauche radicale,1.6666666666666667,12,114.16666666666667,1.0,1,0.6666666666666667,2024-04-01
Jean-François Coulomme,2025-06,Gauche radicale,1.7096774193548387,31,144.7741935483871,1.5,6,0.20967741935483875,2025-06-01
Jean-François Coulomme,2025-12,Gauche radicale,1.8823529411764706,17,608.8823529411765,1.0,1,0.8823529411764706,2025-12-01
Jean-Louis Thiériot,2023-11,Droite,-1.3333333333333333,3,72.0,-1.0,1,-0.33333333333333326,2023-11-01
Jean-Philippe Tanguy,2023-11,Droite,-1.6666666666666667,3,682.3333333333334,-2.0,3,0.33333333333333326,2023-11-01
Julien Odoul,2023-11,Droite,-1.8333333333333333,6,449.1666666666667,-2.0,3,0.16666666666666674,2023-11-01
Julien Odoul,2024-03,Droite,-2.0,2,1499.5,-1.75,20,-0.25,2024-03-01
Julien Odoul,2024-05,Droite,-1.7,10,915.2,-2.0,1,0.30000000000000004,2024-05-01
Julien Odoul,2024-10,Droite,-1.8571428571428572,7,610.2857142857143,-1.5,4,-0.3571428571428572,2024-10-01
Julien Odoul,2025-05,Droite,-1.6666666666666667,12,723.4166666666666,-1.7142857142857142,14,0.04761904761904745,2025-05-01
Julien Odoul,2025-06,Droite,-1.8,5,477.8,-2.0,1,0.19999999999999996,2025-06-01
Jérôme Guedj,2023-10,Gauche moderee,0.0,10,557.9,0.0,2,0.0,2023-10-01
Jérôme Guedj,2025-05,Gauche moderee,0.0,2,839.5,0.0,1,0.0,2025-05-01
Jérôme Legavre,2023-10,Gauche radicale,2.0,10,346.7,1.25,4,0.75,2023-10-01
Jérôme Legavre,2025-03,Gauche radicale,1.1666666666666667,6,510.0,2.0,2,-0.8333333333333333,2025-03-01
Jérôme Legavre,2025-05,Gauche radicale,2.0,13,171.15384615384616,1.5,2,0.5,2025-05-01
Laurent Croizier,2023-10,Centre / Majorite,-1.5,4,3.0,-2.0,1,0.5,2023-10-01
Laurent Jacobelli,2023-10,Droite,-1.2222222222222223,9,152.0,-2.0,1,0.7777777777777777,2023-10-01
Laurent Jacobelli,2024-10,Droite,-1.2,5,615.8,-1.6666666666666667,3,0.4666666666666668,2024-10-01
Laurent Jacobelli,2025-02,Droite,-1.5,2,233.5,-2.0,1,0.5,2025-02-01
Louis Boyard,2023-11,Gauche radicale,2.0,6,979.6666666666666,1.0,1,1.0,2023-11-01
Louis Boyard,2024-11,Gauche radicale,1.9230769230769231,13,773.3846153846154,2.0,1,-0.07692307692307687,2024-11-01
Louis Boyard,2025-05,Gauche radicale,1.7142857142857142,7,713.7142857142857,0.5714285714285714,14,1.1428571428571428,2025-05-01
Louis Boyard,2025-07,Gauche radicale,1.75,4,831.75,1.4285714285714286,7,0.3214285714285714,2025-07-01
Manuel Bompard,2024-02,Gauche radicale,1.5,2,469.0,1.5,2,0.0,2024-02-01
Manuel Bompard,2024-04,Gauche radicale,1.588235294117647,17,561.8235294117648,1.0,1,0.588235294117647,2024-04-01
Manuel Bompard,2025-01,Gauche radicale,1.0,1,486.0,2.0,1,-1.0,2025-01-01
Manuel Bompard,2025-05,Gauche radicale,1.8,5,956.2,2.0,1,-0.19999999999999996,2025-05-01
Marie Mesmeur,2025-03,Gauche radicale,1.0,4,402.0,2.0,5,-1.0,2025-03-01
Marie Mesmeur,2025-07,Gauche radicale,2.0,7,450.14285714285717,1.0,6,1.0,2025-07-01
Marine Le Pen,2023-10,Droite,-1.0,8,910.25,-0.8,5,-0.19999999999999996,2023-10-01
Marine Le Pen,2023-11,Droite,-1.0,1,1123.0,-1.0,1,0.0,2023-11-01
Mathilde Panot,2023-10,Gauche radicale,1.9375,16,457.3125,1.4848484848484849,33,0.45265151515151514,2023-10-01
Mathilde Panot,2024-05,Gauche radicale,1.9,20,953.05,2.0,1,-0.10000000000000009,2024-05-01
Mathilde Panot,2024-11,Gauche radicale,0.6666666666666666,3,790.0,0.4,5,0.2666666666666666,2024-11-01
Mathilde Panot,2025-01,Gauche radicale,1.0,1,1671.0,2.0,1,-1.0,2025-01-01
Mathilde Panot,2025-03,Gauche radicale,1.6666666666666667,9,875.1111111111111,0.0,1,1.6666666666666667,2025-03-01
Mathilde Panot,2025-06,Gauche radicale,1.435897435897436,39,908.7948717948718,1.8181818181818181,11,-0.3822843822843822,2025-06-01
Mathilde Panot,2025-09,Gauche radicale,1.8666666666666667,15,775.4666666666667,2.0,1,-0.1333333333333333,2025-09-01
Mathilde Panot,2025-10,Gauche radicale,1.8,20,707.55,2.0,2,-0.19999999999999996,2025-10-01
Michel Barnier,2024-10,Droite,-1.0,1,1215.0,0.0,4,-1.0,2024-10-01
Michel Barnier,2025-10,Droite,-1.0,2,477.0,0.0,1,-1.0,2025-10-01
Michel Herbillon,2024-10,Droite,-1.0,2,10.5,-1.0,1,0.0,2024-10-01
Michèle Tabarot,2023-10,Droite,-1.375,24,47.333333333333336,-1.2857142857142858,7,-0.08928571428571419,2023-10-01
Michèle Tabarot,2025-06,Droite,-1.4285714285714286,7,22.285714285714285,-1.0,10,-0.4285714285714286,2025-06-01
Nadège Abomangoli,2023-10,Gauche radicale,1.588235294117647,17,311.52941176470586,-1.0,1,2.5882352941176467,2023-10-01
Nadège Abomangoli,2024-03,Gauche radicale,2.0,3,445.6666666666667,-2.0,1,4.0,2024-03-01
Nadège Abomangoli,2024-10,Gauche radicale,1.7142857142857142,14,182.07142857142858,0.5,2,1.2142857142857142,2024-10-01
Nathalie Oziol,2023-11,Gauche radicale,1.6666666666666667,18,437.94444444444446,0.75,4,0.9166666666666667,2023-11-01
Nathalie Oziol,2024-10,Gauche radicale,1.6,5,224.6,1.7142857142857142,7,-0.1142857142857141,2024-10-01
Olivier Falorni,2023-10,Centre / Majorite,-1.5,2,137.0,-0.5,2,-1.0,2023-10-01
Olivier Faure,2023-10,Gauche moderee,0.6470588235294118,17,632.0588235294117,0.0,6,0.6470588235294118,2023-10-01
Olivier Faure,2024-06,Gauche moderee,-1.5,2,765.0,0.0,2,-1.5,2024-06-01
Olivier Faure,2025-01,Gauche moderee,1.0,2,792.5,0.0,1,1.0,2025-01-01
Olivier Faure,2025-06,Gauche moderee,1.1428571428571428,7,554.0,0.0,1,1.1428571428571428,2025-06-01
Olivier Fayssat,2025-07,Droite,-1.25,4,20.0,-1.5,2,0.25,2025-07-01
Paul Vannier,2024-03,Gauche radicale,2.0,2,391.5,2.0,1,0.0,2024-03-01
Philippe Ballard,2023-10,Droite,-1.75,4,169.0,-1.0,1,-0.75,2023-10-01
Philippe Juvin,2025-10,Droite,-1.0,2,160.5,-1.0,1,0.0,2025-10-01
Pierre Cazeneuve,2024-10,Centre / Majorite,-1.0,1,105.0,0.0,1,-1.0,2024-10-01
Pierre Meurin,2023-10,Droite,-1.5,2,29.5,2.0,1,-3.5,2023-10-01
Pierre-Henri Dumont,2023-11,Droite,-1.0,1,302.0,-1.0,2,0.0,2023-11-01
Pierre-Henri Dumont,2024-03,Droite,-2.0,1,106.0,-2.0,3,0.0,2024-03-01
Pierre-Henri Dumont,2024-04,Droite,-1.6,5,291.4,-1.0,1,-0.6000000000000001,2024-04-01
Pierre-Yves Cadalen,2024-10,Gauche radicale,1.25,4,66.25,2.0,1,-0.75,2024-10-01
Pierre-Yves Cadalen,2025-06,Gauche radicale,1.5,36,299.8888888888889,2.0,4,-0.5,2025-06-01
Pierre-Yves Cadalen,2025-12,Gauche radicale,-1.0,1,416.0,2.0,1,-3.0,2025-12-01
Raphaël Arnault,2025-01,Gauche radicale,1.75,4,728.25,-2.0,1,3.75,2025-01-01
Raphaël Arnault,2025-02,Gauche radicale,0.6666666666666666,3,465.3333333333333,2.0,1,-1.3333333333333335,2025-02-01
Raphaël Arnault,2025-05,Gauche radicale,1.8571428571428572,7,813.4285714285714,0.42857142857142855,7,1.4285714285714286,2025-05-01
René Pilato,2025-07,Gauche radicale,1.8461538461538463,13,282.2307692307692,-2.0,1,3.8461538461538463,2025-07-01
René Pilato,2025-10,Gauche radicale,-1.0,1,135.0,2.0,1,-3.0,2025-10-01
Roger Chudeau,2024-04,Droite,-1.0,1,20.0,-2.0,2,1.0,2024-04-01
Roger Chudeau,2025-05,Droite,-2.0,1,21.0,-1.8333333333333333,6,-0.16666666666666674,2025-05-01
Roger Chudeau,2025-07,Droite,-2.0,1,20.0,-1.8888888888888888,9,-0.11111111111111116,2025-07-01
Sabrina Sebaihi,2023-10,Gauche moderee,1.0,3,114.66666666666667,1.5,2,-0.5,2023-10-01
Sabrina Sebaihi,2023-12,Gauche moderee,0.3333333333333333,3,582.6666666666666,2.0,1,-1.6666666666666667,2023-12-01
Sabrina Sebaihi,2024-02,Gauche moderee,1.3870967741935485,31,137.16129032258064,1.6666666666666667,3,-0.27956989247311825,2024-02-01
Sabrina Sebaihi,2024-03,Gauche moderee,1.5384615384615385,13,196.53846153846155,2.0,3,-0.46153846153846145,2024-03-01
Sabrina Sebaihi,2024-06,Gauche moderee,1.0,1,46.0,2.0,6,-1.0,2024-06-01
Sabrina Sebaihi,2024-10,Gauche moderee,1.375,8,219.125,2.0,1,-0.625,2024-10-01
Sabrina Sebaihi,2025-04,Gauche moderee,1.3333333333333333,3,560.0,1.75,4,-0.41666666666666674,2025-04-01
Sabrina Sebaihi,2025-06,Gauche moderee,1.2142857142857142,14,134.85714285714286,2.0,1,-0.7857142857142858,2025-06-01
Sandrine Rousseau,2023-10,Gauche moderee,1.4285714285714286,7,1039.0,1.25,4,0.1785714285714286,2023-10-01
Sandrine Rousseau,2024-06,Gauche moderee,0.0,1,284.0,2.0,1,-2.0,2024-06-01
Sarah Legrain,2025-05,Gauche radicale,1.0,1,49.0,2.0,1,-1.0,2025-05-01
Soumya Bourouaha,2024-02,Gauche radicale,0.9473684210526315,19,45.8421052631579,0.5,4,0.4473684210526315,2024-02-01
Soumya Bourouaha,2025-02,Gauche radicale,2.0,1,47.0,2.0,1,0.0,2025-02-01
Soumya Bourouaha,2025-06,Gauche radicale,1.4285714285714286,7,38.142857142857146,2.0,1,-0.5714285714285714,2025-06-01
Stéphane Peu,2025-06,Gauche radicale,1.6666666666666667,3,488.3333333333333,0.0,1,1.6666666666666667,2025-06-01
Stéphane Peu,2025-09,Gauche radicale,1.3333333333333333,3,707.0,2.0,1,-0.6666666666666667,2025-09-01
Sylvain Maillard,2023-10,Centre / Majorite,-1.2222222222222223,9,397.55555555555554,-1.0,2,-0.22222222222222232,2023-10-01
Sylvain Maillard,2023-11,Centre / Majorite,-1.0,1,1274.0,-1.6666666666666667,3,0.6666666666666667,2023-11-01
Sylvain Maillard,2024-05,Centre / Majorite,-0.8333333333333334,6,269.3333333333333,-0.75,4,-0.08333333333333337,2024-05-01
Sylvain Maillard,2025-05,Centre / Majorite,-2.0,1,266.0,-1.0,1,-1.0,2025-05-01
Sébastien Chenu,2023-10,Droite,-1.5263157894736843,19,442.2631578947368,-2.0,1,0.4736842105263157,2023-10-01
Sébastien Chenu,2024-03,Droite,-2.0,1,941.0,-2.0,1,0.0,2024-03-01
Sébastien Chenu,2024-05,Droite,-1.5,4,541.25,-2.0,1,0.5,2024-05-01
Sébastien Chenu,2024-10,Droite,-1.0,2,225.5,2.0,1,-3.0,2024-10-01
Sébastien Chenu,2025-04,Droite,-1.3333333333333333,3,492.0,-2.0,1,0.6666666666666667,2025-04-01
Sébastien Chenu,2025-06,Droite,-1.8333333333333333,6,710.3333333333334,-2.0,2,0.16666666666666674,2025-06-01
Sébastien Delogu,2023-11,Gauche radicale,2.0,8,665.375,-0.5,2,2.5,2023-11-01
Sébastien Delogu,2024-04,Gauche radicale,1.25,4,669.0,0.75,4,0.5,2024-04-01
Sébastien Delogu,2024-05,Gauche radicale,2.0,3,621.3333333333334,2.0,6,0.0,2024-05-01
Sébastien Delogu,2025-02,Gauche radicale,1.0,1,1022.0,-2.0,1,3.0,2025-02-01
Sébastien Jumel,2023-10,Gauche radicale,0.875,16,181.5625,0.0,1,0.875,2023-10-01
Ségolène Amiot,2024-11,Gauche radicale,1.0,1,34.0,-1.0,1,2.0,2024-11-01
Ségolène Amiot,2025-06,Gauche radicale,2.0,6,385.8333333333333,2.0,1,0.0,2025-06-01
Ségolène Amiot,2025-10,Gauche radicale,1.8,5,101.2,1.0,1,0.8,2025-10-01
Thomas Portes,2023-11,Gauche radicale,2.0,4,473.5,-2.0,1,4.0,2023-11-01
Thomas Portes,2024-03,Gauche radicale,2.0,9,951.2222222222222,1.1111111111111112,9,0.8888888888888888,2024-03-01
Thomas Portes,2024-05,Gauche radicale,1.9411764705882353,68,808.5,2.0,1,-0.05882352941176472,2024-05-01
Thomas Portes,2024-10,Gauche radicale,1.9090909090909092,11,687.6363636363636,2.0,3,-0.09090909090909083,2024-10-01
Thomas Portes,2025-11,Gauche radicale,2.0,3,893.0,2.0,3,0.0,2025-11-01
Théo Bernhardt,2025-06,Droite,-0.5,2,13.0,-2.0,1,1.5,2025-06-01
Ugo Bernalicis,2025-07,Gauche radicale,1.7142857142857142,7,540.2857142857143,1.0,1,0.7142857142857142,2025-07-01
Vincent Jeanbrun,2025-03,Droite,-2.0,2,115.0,-0.8,5,-1.2,2025-03-01
Violette Spillebout,2024-04,Centre / Majorite,-0.5,8,350.0,-0.6666666666666666,3,0.16666666666666663,2024-04-01
Éric Bothorel,2023-10,Centre / Majorite,-0.5555555555555556,18,22.11111111111111,0.0,1,-0.5555555555555556,2023-10-01
Éric Ciotti,2023-10,Droite,-1.55,20,729.0,-2.0,1,0.44999999999999996,2023-10-01
Éric Ciotti,2023-12,Droite,-1.0,1,628.0,-2.0,1,1.0,2023-12-01
Éric Ciotti,2025-05,Droite,-1.5,2,385.0,-1.0,1,-0.5,2025-05-01
Éric Ciotti,2025-06,Droite,-1.7142857142857142,7,789.5714285714286,-1.3333333333333333,3,-0.38095238095238093,2025-06-01
Éric Coquerel,2023-11,Gauche radicale,1.4,20,851.85,1.0,3,0.3999999999999999,2023-11-01
Éric Coquerel,2023-12,Gauche radicale,1.5,4,557.75,1.6,5,-0.10000000000000009,2023-12-01
Éric Coquerel,2024-02,Gauche radicale,1.0,1,152.0,1.3333333333333333,3,-0.33333333333333326,2024-02-01
Éric Coquerel,2025-01,Gauche radicale,1.75,4,492.25,1.4,5,0.3500000000000001,2025-01-01
