month,bloc,valence,arousal,dominance,n,month_ts
2023-10,Centre / Majorite,0.5061757649711679,0.5006819194730868,0.5043001613101281,251,2023-10-01
2023-10,Droite,0.49362291353049925,0.5036957972866022,0.48964797588255643,300,2023-10-01
2023-10,Gauche moderee,0.4938820848820306,0.5007803571451084,0.49701489406106747,153,2023-10-01
2023-10,Gauche radicale,0.5010706422006416,0.4996817639689738,0.4994507572332283,644,2023-10-01
2023-11,Centre / Majorite,0.5280295831950552,0.4903753145353323,0.5009002627423516,106,2023-11-01
2023-11,Droite,0.5114550137740949,0.49111428040253585,0.4824342178654648,107,2023-11-01
2023-11,Gauche moderee,0.5291797579735865,0.47675860319486546,0.5008047282019786,55,2023-11-01
2023-11,Gauche radicale,0.5199754402481995,0.49590195635368967,0.5026828582574175,331,2023-11-01
2023-12,Centre / Majorite,0.5094119810315431,0.4865149023159988,0.4878941476142499,10,2023-12-01
2023-12,Droite,0.5392249674825916,0.4551450686279621,0.4883942429707488,16,2023-12-01
2023-12,Gauche moderee,0.5103756232200033,0.48939390023499735,0.4834291391026217,16,2023-12-01
2023-12,Gauche radicale,0.5074855299057552,0.49389396030118665,0.49394483067706485,157,2023-12-01
2024-01,Centre / Majorite,0.5219502536698063,0.49313044109145326,0.5102222394992221,64,2024-01-01
2024-01,Droite,0.5222324090187603,0.47917242533445065,0.47417761460166286,32,2024-01-01
2024-01,Gauche moderee,0.5172481424484197,0.4940233686163955,0.5103396142988154,30,2024-01-01
2024-01,Gauche radicale,0.5039078520438093,0.5010722464609931,0.5077139767760731,226,2024-01-01
2024-02,Centre / Majorite,0.5156480413949838,0.4886770654133469,0.49282805922614487,65,2024-02-01
2024-02,Droite,0.5157749766675704,0.48763397785769935,0.49819432804486613,32,2024-02-01
2024-02,Gauche moderee,0.5261228286141814,0.4801912057873108,0.5020207319760317,55,2024-02-01
2024-02,Gauche radicale,0.5102405650695748,0.4998256556793394,0.5022578852433176,224,2024-02-01
2024-03,Centre / Majorite,0.5257309350115184,0.48345759327875515,0.5066399210234452,47,2024-03-01
2024-03,Droite,0.5282015685125094,0.4793229681260407,0.5023967228754888,73,2024-03-01
2024-03,Gauche moderee,0.5170699359682488,0.4922737028997959,0.5096565112319112,44,2024-03-01
2024-03,Gauche radicale,0.5093913378726295,0.4996284913487198,0.508554970911784,243,2024-03-01
2024-04,Centre / Majorite,0.5304240452527896,0.48911436157101745,0.5084370102999737,51,2024-04-01
2024-04,Droite,0.5111493259565215,0.5108482834592455,0.499515397627615,51,2024-04-01
2024-04,Gauche moderee,0.5183424598642714,0.4999832294598786,0.5136586272200759,43,2024-04-01
2024-04,Gauche radicale,0.5068245328420565,0.49482437551669195,0.49718471796060026,349,2024-04-01
