month,dist,month_ts,wd_mean
2023-10,0.1459008763320844,2023-10-01,0.40335195318437456
2023-11,0.2345034169166628,2023-11-01,0.382457484995206
2023-12,0.2736850488190176,2023-12-01,0.3780918259023354
2024-01,0.2821323851387614,2024-01-01,0.4755054695181908
2024-02,0.2495555176484597,2024-02-01,0.45257041569541573
2024-03,0.2363500467110618,2024-03-01,0.49323085443675757
2024-04,0.2394504205924333,2024-04-01,0.4281625546422563
2024-05,0.2310169380244074,2024-05-01,0.4827671970478034
2024-06,0.2383872548627392,2024-06-01,0.4436454517704518
2024-07,0.2999016886049439,2024-07-01,0.4901816821934409
2024-08,0.2581172198100083,2024-08-01,0.45316536336756924
2024-09,0.3292762398493085,2024-09-01,0.4635867446393762
2024-10,0.2293638554147873,2024-10-01,0.4339327122153209
2024-11,0.229710642833377,2024-11-01,0.44579253365973076
2024-12,0.3673781991883265,2024-12-01,0.4186084142394822
2025-01,0.2278754129427965,2025-01-01,0.35584449517638633
2025-02,0.2827918485363416,2025-02-01,0.4425948675948676
2025-03,0.2619802658852579,2025-03-01,0.43239801535796585
2025-04,0.2956374457715587,2025-04-01,0.4590106903965599
2025-05,0.1913894680018643,2025-05-01,0.4401728208393018
2025-06,0.1793860555372997,2025-06-01,0.4390356323128836
2025-07,0.2478118959608084,2025-07-01,0.4859035513771964
2025-08,0.2813463399127515,2025-08-01,0.5314743327538604
2025-09,0.2663272973913435,2025-09-01,0.4276339821909673
2025-10,0.2712404427993336,2025-10-01,0.38924876293297345
2025-11,0.2841615796985204,2025-11-01,0.44104517262871795
2025-12,0.2675969911652516,2025-12-01,0.4134046652087889
2026-01,0.464278986068097,2026-01-01,0.4888698630136986
